appliance,efficiency,location,tariff,mc_runs,npc_mean,npc_std,npc_p5,npc_p25,npc_p50,npc_p75,npc_p95,co2_mean,co2_std,eff_wins_pct,mean_npc_saving
fridge,standard,turkana,flat,1000,2698.72,249.53,2337.32,2493.37,2679.87,2873.52,3134.15,1317.6,276.9,100.0,795.19
fridge,efficient,turkana,flat,1000,1903.53,131.04,1709.69,1806.24,1897.61,1992.46,2131.5,640.7,136.8,100.0,795.19
fridge,standard,turkana,time_of_use,1000,2609.29,251.46,2253.56,2399.19,2589.8,2777.85,3044.36,1309.1,271.9,100.0,748.05
fridge,efficient,turkana,time_of_use,1000,1861.24,129.02,1671.43,1767.63,1847.29,1947.56,2087.38,644.5,138.2,100.0,748.05
fridge,standard,kisumu,flat,1000,2684.72,235.81,2351.31,2488.95,2667.28,2838.55,3068.13,1282.0,264.9,100.0,775.93
fridge,efficient,kisumu,flat,1000,1908.79,137.13,1707.69,1805.99,1897.94,1997.36,2164.2,643.4,141.2,100.0,775.93
fridge,standard,kisumu,time_of_use,1000,2612.42,254.17,2258.59,2404.26,2590.62,2773.64,3103.21,1305.5,284.9,100.0,746.94
fridge,efficient,kisumu,time_of_use,1000,1865.48,131.42,1671.91,1765.39,1861.8,1945.14,2103.75,639.8,136.6,100.0,746.94
pump,standard,turkana,flat,1000,3520.22,308.82,3169.46,3240.5,3413.93,3710.51,4120.85,1947.2,390.6,100.0,1158.37
pump,efficient,turkana,flat,1000,2361.85,171.63,2157.84,2215.91,2315.27,2466.12,2706.34,1183.9,211.6,100.0,1158.37
pump,standard,turkana,time_of_use,1000,3332.65,298.08,2997.0,3069.59,3226.06,3515.61,3950.4,1934.3,381.7,100.0,1060.25
pump,efficient,turkana,time_of_use,1000,2272.4,163.98,2075.08,2137.93,2226.61,2373.43,2609.67,1179.1,207.9,100.0,1060.25
pump,standard,kisumu,flat,1000,3531.79,309.34,3173.03,3257.62,3559.12,3703.41,4160.51,1947.2,394.4,100.0,1159.74
pump,efficient,kisumu,flat,1000,2372.05,167.44,2162.3,2230.48,2359.78,2471.37,2710.83,1183.6,207.7,100.0,1159.74
pump,standard,kisumu,time_of_use,1000,3349.17,304.63,2993.08,3068.79,3391.84,3530.8,3979.56,1939.0,381.7,100.0,1065.27
pump,efficient,kisumu,time_of_use,1000,2283.9,167.49,2075.44,2141.5,2265.41,2384.82,2620.15,1181.8,208.8,100.0,1065.27
mill,standard,turkana,flat,1000,3854.83,70.9,3742.48,3801.59,3851.79,3905.94,3977.13,1277.3,0.0,0.0,-779.79
mill,efficient,turkana,flat,1000,4634.61,132.24,4424.25,4538.38,4629.81,4726.28,4869.51,1273.9,4.7,0.0,-779.79
mill,standard,turkana,time_of_use,1000,3565.38,71.71,3453.79,3511.36,3559.06,3618.92,3693.42,1277.3,0.0,0.0,-778.58
mill,efficient,turkana,time_of_use,1000,4343.96,131.98,4125.04,4245.34,4342.7,4442.07,4571.0,1274.0,4.7,0.0,-778.58
mill,standard,kisumu,flat,1000,3855.36,70.13,3742.56,3803.99,3854.62,3904.18,3978.38,1267.0,0.0,0.0,-782.19
mill,efficient,kisumu,flat,1000,4637.56,136.32,4416.77,4536.57,4632.56,4734.93,4881.44,1263.8,4.6,0.0,-782.19
mill,standard,kisumu,time_of_use,1000,3572.86,72.35,3460.95,3518.43,3568.3,3623.47,3699.89,1267.0,0.0,0.0,-776.08
mill,efficient,kisumu,time_of_use,1000,4348.94,134.11,4125.91,4250.85,4345.55,4444.05,4585.84,1263.8,4.7,0.0,-776.08
