scenario_id,appliance,efficiency,location,tariff,battery_scenario,capex_usd,npc_usd,total_co2e_kg,diesel_co2e_kg,co2e_saving_vs_diesel,n_replacements,total_replacement_cost,residual_value,pv_size_wp,battery_kwh,solar_factor,annual_maint_usd,manufacturing_co2e,replacement_co2e
fridge_standard_turkana_flat_good_usage,fridge,standard,turkana,flat,good_usage,1182.41,2432.5,1059.2,3353.8,2294.6,3,1246.0,67.47,288.0,2.0,1.111,15.75,639.2,420.0
fridge_standard_turkana_time_of_use_good_usage,fridge,standard,turkana,time_of_use,good_usage,1182.41,2346.38,1059.2,3353.8,2294.6,3,1246.0,67.47,288.0,2.0,1.111,15.75,639.2,420.0
fridge_standard_kisumu_flat_good_usage,fridge,standard,kisumu,flat,good_usage,1184.59,2434.68,1054.8,3353.8,2299.0,3,1246.0,67.47,295.0,2.0,1.0836,15.75,634.8,420.0
fridge_standard_kisumu_time_of_use_good_usage,fridge,standard,kisumu,time_of_use,good_usage,1184.59,2348.56,1054.8,3353.8,2299.0,3,1246.0,67.47,295.0,2.0,1.0836,15.75,634.8,420.0
fridge_efficient_turkana_flat_good_usage,fridge,efficient,turkana,flat,good_usage,1160.8,1786.29,520.3,1559.5,1039.2,2,923.0,187.95,126.0,1.0,1.111,19.5,310.3,210.0
fridge_efficient_turkana_time_of_use_good_usage,fridge,efficient,turkana,time_of_use,good_usage,1160.8,1746.24,520.3,1559.5,1039.2,2,923.0,187.95,126.0,1.0,1.111,19.5,310.3,210.0
fridge_efficient_kisumu_flat_good_usage,fridge,efficient,kisumu,flat,good_usage,1161.76,1787.24,518.4,1559.5,1041.2,2,923.0,187.95,129.0,1.0,1.0836,19.5,308.4,210.0
fridge_efficient_kisumu_time_of_use_good_usage,fridge,efficient,kisumu,time_of_use,good_usage,1161.76,1747.19,518.4,1559.5,1041.2,2,923.0,187.95,129.0,1.0,1.0836,19.5,308.4,210.0
pump_standard_turkana_flat_good_usage,pump,standard,turkana,flat,good_usage,1436.95,3173.74,1597.8,6987.1,5389.4,2,1064.4,0.0,575.0,2.8,1.111,6.0,1027.8,570.0
pump_standard_turkana_time_of_use_good_usage,pump,standard,turkana,time_of_use,good_usage,1436.95,2994.31,1597.8,6987.1,5389.4,2,1064.4,0.0,575.0,2.8,1.111,6.0,1027.8,570.0
